Fecha;Hora;Temperatura (ºC);pH;Turbiedad (NTU);"DQO 
(mg O2/L)"
06/03/2024;9:00;24.6;6.29;2.43;98
07/03/2024;9:00;24.2;6.27;2.9;95
08/03/2024;9:00;24.8;6.39;7.08;112
11/03/2024;9:30;25.8;6.36;4.81;116
12/03/2024;9:00;25;6.26;3.27;93
13/03/2024;10:30;24.9;6.07;2.8;98
14/03/2024;8:00;25;6.02;5.51;94
18/03/2024;8:40;24.2;6.02;3.32;75
19/03/2024;8:45;24.8;6.26;6.93;90
20/03/2024;9:10;25.8;6.12;5.11;91
21/03/2024;8:45;23.9;6.18;3.14;164
22/03/2024;8:50;24.5;6.17;1.95;75
25/03/2024;9:00;24.1;6.15;1.92;151
26/03/2024;10:00;23.8;6.12;5.7;132
27/03/2024;8:50;23.9;6.12;4.15;87
28/03/2024;10:00;24.1;7.37;2.1;83
01/04/2024;9:00;23.8;7.39;2.75;139
02/04/2024;8:45;22.3;7;2.02;104
03/04/2024;8:50;22.4;7.24;4.36;124
04/04/2024;10:00;22.7;7.27;3.36;133
05/04/2024;9:00;22.8;7.12;3.65;117
08/04/2024;9:00;22.7;7.21;3.27;185
09/04/2024;8:50;23.1;7.17;1.64;102
10/04/2024;9:00;21.5;7.38;3.94;110
11/04/2024;8:50;29.2;7.21;1.66;125
12/04/2024;8:45;20.1;7.41;2.66;170
15/04/2024;9:00;21.8;7.91;1.72;119
