Fecha;Hora;Temperatura (ºC);pH;Turbiedad (NTU);"DQO 
(mg O2/L)"
05/04/2022;9:55;27.7;6.5;5.74;113
06/04/2022;10:30;29.3;7;5.47;109
12/04/2022;9:30;31.2;7.2;10.1;134
18/04/2022;9:30;32;6.7;11.07;113
19/04/2022;10:00;32.1;6.5;5.97;193
20/04/2022;10:00;32;7.13;14.76;134
21/04/2022;9:30;31.8;7.05;9.48;116
22/04/2022;8:40;31.8;7.2;7.35;107
25/04/2022;9:00;30.6;6.6;6.2;117
26/04/2022;11:00;32.4;7;8.2;129
27/04/2022;9:50;32.2;6.73;5.61;116
28/04/2022;9:00;30.3;6.7;10.14;117
02/05/2022;9:30;27.5;6.93;6.92;100
03/05/2022;9:30;30;7;3.4;105
04/05/2022;9:30;30;6.85;7.04;112
05/05/2022;10:30;30.4;6.65;5.4;147
06/05/2022;9:20;30.2;6.7;6.5;101
09/05/2022;9:00;30.6;7.05;9.34;119
10/05/2022;9:10;31.3;6.8;12.85;135
11/05/2022;9:20;31;7.12;23.3;169
12/05/2022;10:00;29.3;7.09;17.3;153
13/05/2022;9:50;28.2;6.93;14.08;148
16/05/2022;10:00;27;7;5.64;121
17/05/2022;10:00;26.8;7;9.47;124
18/05/2022;9:00;26;6.67;7.73;111
19/05/2022;9:30;29.7;7.48;5.93;153
20/05/2022;9:00;30.2;7.9;5.73;134
23/05/2022;9:20;33.3;7.96;8.67;148
24/05/2022;9:40;31.8;7.05;8.57;152
25/05/2022;10:00;30.7;7.26;8.27;148
26/05/2022;8:00;27.7;7.05;11.23;117
27/05/2022;15:00;27.6;6.64;6.66;116
30/05/2022;9:30;27.5;6.14;14.16;108
31/05/2022;9:30;27.2;7.12;8.83;113
01/06/2022;10:00;26.7;7.11;9.65;125
02/06/2022;8:50;27;7.41;9.56;117
03/06/2022;9:00;28;7.52;10.7;107
06/06/2022;9:20;30.8;7.42;13.18;133
07/06/2022;8:30;31.8;7.4;10.59;112
08/06/2022;9:00;31.7;7.53;10.76;171
09/06/2022;10:15;30.9;6.92;9.87;125
10/06/2022;8:20;29.6;6.92;9.57;166
13/06/2022;10:30;28;6.97;11.83;150
14/06/2022;9:30;28.7;7.03;12.39;164
15/06/2022;9:40;30.2;7.12;7.87;131
16/06/2022;9:30;31.7;7.01;26.3;152
17/06/2022;9:00;31.2;6.9;14.95;136
20/06/2022;9:30;30.3;6.92;15.39;124
21/06/2022;9:00;32;6.9;12.96;173
22/06/2022;12:30;28.6;6.91;7.99;125
23/06/2022;9:00;27.8;6.83;11.72;174
24/06/2022;9:00;28.5;6.75;10.18;152
27/06/2022;9:30;30.7;6.83;8.66;128
28/06/2022;9:30;31;6.81;13.38;157
29/06/2022;10:30;31;6.85;10.01;159
30/06/2022;10:00;31.1;7.13;18.42;134
04/07/2022;9:30;30.9;7.23;8.6;145
05/07/2022;9:00;31.4;7.28;10.53;109
06/07/2022;9:00;30.8;7.22;8.18;113
07/07/2022;9:00;29.6;7.26;8.26;101
08/07/2022;9:00;29.9;7.18;9.13;97
11/07/2022;8:40;28.1;7.26;8.97;102
12/07/2022;9:00;27.6;7.31;7.53;89
13/07/2022;9:00;27.6;7.37;5.57;100
14/07/2022;8:30;28.4;7.37;6.96;95
15/07/2022;9:00;30.2;7.18;3.64;96
19/07/2022;9:00;29.2;7.24;10.4;113
20/07/2022;9:00;29;7.16;9;90
21/07/2022;8:50;30.6;6.93;10.72;99
22/07/2022;7:50;30.7;7.3;9.66;108
26/07/2022;9:30;29.6;7.3;6.35;122
27/07/2022;10:30;28.6;7.28;14.94;101
28/07/2022;10:00;27.4;7.2;10.09;113
29/07/2022;9:00;26.1;7.23;12.23;109
01/08/2022;9:00;28.7;7.42;17.91;110
02/08/2022;9:00;29.8;7.38;10.76;113
03/08/2022;9:30;31;7.35;5.65;101
04/08/2022;9:00;30.2;6.95;9.7;139
05/08/2022;9:00;29.3;7.36;4.9;108
08/08/2022;8:30;26.7;7.37;8.06;99
09/08/2022;9:00;27;7.07;6.22;89
10/08/2022;10:00;28;7.25;5.59;162
11/08/2022;8:30;28.2;7.24;5.3;89
12/08/2022;10:00;28.8;7.34;3.13;142
15/08/2022;9:30;29;7.24;5.3;102
16/08/2022;9:30;28.3;7.38;9.48;153
17/08/2022;10:00;27.7;7.14;9.1;120
18/08/2022;10:00;28.2;7.3;2.64;84
19/08/2022;11:00;29.8;7.25;4.37;89
22/08/2022;9:00;32.4;7.21;4.68;112
23/08/2022;10:00;32.6;7.41;5.45;119
24/08/2022;10:00;34.6;7.4;2.57;94
26/08/2022;10:00;33.5;7.4;4.63;74
29/08/2022;8:30;26.5;7.42;4.38;82
30/08/2022;10:30;27.4;7.48;4.94;79
31/08/2022;10:30;28.5;7.38;6.2;89
01/09/2022;10:30;29.9;7.34;5.57;94
02/09/2022;11:00;28.8;7.29;6.76;93
05/09/2022;9:30;31.6;6.95;6.26;98
06/09/2022;10:00;31.8;7.23;9.03;101
07/09/2022;10:00;32.5;7.33;4.68;104
